Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Australia,Price / Australia,Compare At Price / Australia,Included / International,Price / International,Compare At Price / International,Status
clutch-and-brake,,,,,,,,,LightSlateGray,,,,,abccd-19,0.0,shopify,42,deny,manual,14.00,19.00,true,true,"",https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-04-a.jpg?v=1703743100,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-04-c.jpg?v=1703743100,lb,,349.00,,,,,,,
clutch-and-brake,,,,,,,,,Silver,,,,,abccd-20,0.0,shopify,55,deny,manual,17.00,19.00,true,true,"",https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-04-b.jpg?v=1703743100,3,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-04-b.jpg?v=1703743100,lb,,349.00,,,,,,,
clutch-and-brake,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-04-c.jpg?v=1703743100,4,,,,,,,,,,,,,,,,,,,,,,,,,,
clutch-and-brake,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-04-d.jpg?v=1703743100,5,,,,,,,,,,,,,,,,,,,,,,,,,,
a-halogen-light,A halogen Light,"<div class=""more-description"">
<h2>More Detail</h2>
<ul>
<li>
<p>Lorem Ipsum is simply dummy text of the printing and typesetting industry</p>
</li>
<li>
<p>Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsumum is simply dummy text.</p>
</li>
<li>
<p>type here your detail one by one li more add</p>
</li>
<li>
<p>has been the industry’s standard dummy text ever since. Lorem Ips</p>
</li>
<li>
<p>Lorem Ipsum is simply dummy text of the printing and typesetting industry.</p>
</li>
<li>
<p>Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsum has been the industry’s standard dummy text ever since. Lorem Ipsum is simply dummy text.</p>
</li>
</ul>
</div>",Evobn,Electronics,Ev-bike,"dslr-camera, electirc, lightslategray, salmon, silver",true,Color,Salmon,,,,,abccd-13,0.0,shopify,15,deny,manual,21.00,25.00,true,true,"",https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-03.jpg?v=1703742541,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-03.jpg?v=1703742541,lb,,325.00,true,,,true,,,active
a-halogen-light,,,,,,,,,LightSlateGray,,,,,abccd-14,0.0,shopify,60,deny,manual,22.00,25.00,true,true,"",https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-03-a.jpg?v=1703742541,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-03-c.jpg?v=1703742541,lb,,325.00,,,,,,,
a-halogen-light,,,,,,,,,Silver,,,,,abccd-15,0.0,shopify,55,deny,manual,23.00,25.00,true,true,"",https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-03-b.jpg?v=1703742541,3,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-03-b.jpg?v=1703742541,lb,,325.00,,,,,,,
a-halogen-light,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-03-c.jpg?v=1703742541,4,,,,,,,,,,,,,,,,,,,,,,,,,,
a-halogen-light,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-03-d.jpg?v=1703742542,5,,,,,,,,,,,,,,,,,,,,,,,,,,
bike-on-off-switch,Bike on-off switch,"<div class=""more-description"">
<h2>More Detail</h2>
<ul>
<li>
<p>Lorem Ipsum is simply dummy text of the printing and typesetting industry</p>
</li>
<li>
<p>Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsumum is simply dummy text.</p>
</li>
<li>
<p>type here your detail one by one li more add</p>
</li>
<li>
<p>has been the industry’s standard dummy text ever since. Lorem Ips</p>
</li>
<li>
<p>Lorem Ipsum is simply dummy text of the printing and typesetting industry.</p>
</li>
<li>
<p>Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsum has been the industry’s standard dummy text ever since. Lorem Ipsum is simply dummy text.</p>
</li>
</ul>
</div>",Evobn,Electronics,Ev-bike,"car-charger, lightslategray, salmon, silver",true,Color,LightSlateGray,,,,,abccd-19,0.0,shopify,32,deny,manual,31.00,39.00,true,true,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-02.jpg?v=1703741950,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-02.jpg?v=1703741950,lb,,310.00,true,,,true,,,active
bike-on-off-switch,,,,,,,,,Silver,,,,,abccd-20,0.0,shopify,55,deny,manual,34.00,39.00,true,true,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-02-a.jpg?v=1703741950,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-02-c.jpg?v=1703741950,lb,,310.00,,,,,,,
bike-on-off-switch,,,,,,,,,Salmon,,,,,abccd-21,0.0,shopify,22,deny,manual,36.00,39.00,true,true,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-02-b.jpg?v=1703741950,3,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-02-b.jpg?v=1703741950,lb,,310.00,,,,,,,
bike-on-off-switch,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-02-c.jpg?v=1703741950,4,,,,,,,,,,,,,,,,,,,,,,,,,,
bike-on-off-switch,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-02-d.jpg?v=1703741950,5,,,,,,,,,,,,,,,,,,,,,,,,,,
ev-rubber-tyres,Ev rubber tyres,"<div class=""more-description"">
<h2>More Detail</h2>
<ul>
<li>
<p>Lorem Ipsum is simply dummy text of the printing and typesetting industry</p>
</li>
<li>
<p>Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsumum is simply dummy text.</p>
</li>
<li>
<p>type here your detail one by one li more add</p>
</li>
<li>
<p>has been the industry’s standard dummy text ever since. Lorem Ips</p>
</li>
<li>
<p>Lorem Ipsum is simply dummy text of the printing and typesetting industry.</p>
</li>
<li>
<p>Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsum has been the industry’s standard dummy text ever since. Lorem Ipsum is simply dummy text.</p>
</li>
</ul>
</div>",Evobn,Electronics,Ev-bike,"darkcyan, earbuds, electirc, navajowhite, steelblue",true,Color,NavajoWhite,,,,,abccd-18,0.0,shopify,66,deny,manual,24.00,29.00,true,true,"",https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-01.jpg?v=1703741052,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-01.jpg?v=1703741052,lb,,299.00,true,,,true,,,active
ev-rubber-tyres,,,,,,,,,DarkCyan,,,,,abccd-19,0.0,shopify,89,deny,manual,26.00,29.00,true,true,"",https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-01-a.jpg?v=1703741052,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-01-c.jpg?v=1703741052,lb,,299.00,,,,,,,
ev-rubber-tyres,,,,,,,,,SteelBlue,,,,,abccd-20,0.0,shopify,56,deny,manual,28.00,29.00,true,true,"",https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-01-b.jpg?v=1703741052,3,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-01-b.jpg?v=1703741052,lb,,299.00,,,,,,,
ev-rubber-tyres,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-01-c.jpg?v=1703741052,4,,,,,,,,,,,,,,,,,,,,,,,,,,
ev-rubber-tyres,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0565/4645/9750/files/ev-bike-pro-01-d.jpg?v=1703741052,5,,,,,,,,,,,,,,,,,,,,,,,,,,
